Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
561.9399,67330,left,1,-124.9538,152.8769,-91.34215,-363.5608,120.8243,-85.86047,0.2207426,2.911792,0.1788641,-135.356,127.3801,-28.62986,-270.0884,-37.23277,95.61148,0.9363612,3.141593,1,16.4801,220.2195,23.11387,0.03906436,-72.4455,45.66754,0.254956,-0.03690782,-0.3037824,49.64793,202.1472,88.24458,211.9196,40.52247,229.6733,0,0.2095537,0,sachar,alone
561.9564,67332,left,1,-130.4946,154.0073,-91.94431,-271.7263,28.61372,-6.622645,0.2117912,2.870676,0.1193132,-137.3451,128.5988,-28.73907,-264.6905,-38.9651,99.29073,1,3.141593,1,16.55921,219.3736,23.80519,7.285506,-43.1188,40.06581,0.2434572,-0.03789132,-0.3057446,49.87231,201.9112,88.98869,211.1888,38.75233,229.7572,0,0.1349352,0,sachar,alone
561.9733,67334,left,1,-135.1846,155.0076,-91.59452,-231.5407,29.45833,58.50175,0.2131826,2.823973,0.05354983,-138.0097,129.0104,-28.32875,-255.2188,-43.83945,102.3276,1,3.141593,1,16.59968,218.8535,23.96297,0.6884502,-27.2349,1.358285,0.2324579,-0.0390677,-0.3037451,49.78641,201.9403,89.31776,209.3153,37.08953,230.1673,0,0.1085884,0,sachar,alone
561.9899,67335,left,1,-137.3009,155.279,-90.68771,-246.3627,31.60117,105.5666,0.2280957,2.77634,0.008894956,-137.5924,128.0958,-27.85396,-250.3296,-47.23301,103.433,1,3.141593,0.9599722,16.49667,218.1559,24.00882,-8.321677,-40.28358,2.989956,0.2087129,-0.04246857,-0.3055701,49.86697,202.5744,89.54305,208.0754,36.61687,230.5986,0,0.1082989,0,sachar,alone
562.0061,67337,left,1,-139.8503,154.9282,-88.59547,-146.9656,-14.40033,111.9288,0.2504694,2.690446,-0.06201117,-136.327,125.9134,-26.69169,-242.9543,-54.02531,103.4576,1,3.141593,0.8267232,16.35937,217.6196,24.00663,-9.509645,-25.60725,-3.323605,0.1861972,-0.03930179,-0.3069594,49.92872,203.4226,89.70747,208.7383,38.14925,230.9063,0,0.1251178,0,sachar,alone
562.0227,67339,left,1,-142.9189,156.3399,-87.15094,-195,110.0363,91.54895,0.2683567,2.614648,-0.1389631,-135.385,125.7829,-26.43243,-237.4232,-60.11546,98.93164,0.9569774,3.141593,0.7807474,16.12596,217.454,23.81943,-15.47654,-4.38239,-14.19501,0.167321,-0.03395523,-0.3076878,49.85978,204.4646,89.64896,210.0779,40.42212,230.707,0,0.1274985,0,sachar,alone
562.0392,67341,left,1,-146.3759,159.3201,-85.00918,-191.0243,187.2907,141.4551,0.3016856,2.525986,-0.2466162,-133.4824,126.6005,-26.45364,-231.5196,-64.0826,94.85086,0.7915125,3.141593,0.714625,15.67951,217.9135,23.36337,-27.71205,37.60349,-29.32084,0.1552439,-0.02947049,-0.3070639,49.48076,205.7626,89.31075,211.507,43.85342,230.783,0,0.1347184,0,sachar,alone
562.0557,67343,left,1,-148.4483,163.2892,-82.00073,-87.13371,219.2645,177.9926,0.3637956,2.468324,-0.3278645,-131.9513,127.4544,-26.2684,-228.9349,-64.30483,94.18378,0.7304434,3.141593,0.7453204,15.07188,218.9922,22.76227,-37.98591,74.9684,-37.93755,0.1509015,-0.02564284,-0.3079742,49.00757,207.2993,88.75866,213.2805,49.01101,231.7453,0,0.1534187,0,sachar,alone
562.0723,67345,left,1,-148.1813,166.6466,-78.23056,47.95847,179.2332,223.9471,0.4285755,2.453573,-0.372602,-129.9907,127.8303,-25.10833,-227.8034,-64.55087,93.67004,0.6314322,3.141593,0.8358367,14.33364,220.8179,22.01551,-44.90008,118.2903,-45.17817,0.1421624,-0.02118798,-0.312487,48.60483,209.85,87.9873,214.5998,54.85774,232.6037,0,0.1251175,0,sachar,alone
562.0889,67347,left,1,-147.0379,170.0434,-74.2684,89.41795,190.1234,223.3608,0.4925932,2.437799,-0.406195,-127.9139,128.2486,-23.83708,-227.1861,-67.02155,88.86043,0.5634947,2.937343,0.7998078,13.98245,222.1054,21.66382,-40.84995,149.7615,-40.9074,0.1377638,-0.01956216,-0.3143437,48.38802,211.4562,87.61926,214.8508,57.29598,232.5951,0,0.09804982,0,sachar,alone
