Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
458.1988,53509,left,1,-22.738,330.9237,36.89355,25.23532,187.8045,3.882963,0.6469429,2.12673,1.117682,-77.3092,301.5135,63.0554,-245.6871,193.974,193.6343,0.3774364,1.805928,0.7681006,17.22053,224.214,21.31473,-16.67351,-44.69855,10.93702,0.2931697,-0.06764507,-0.2998965,49.88375,203.954,86.26379,209.3764,48.0055,236.9336,0,0.5684602,0
458.2154,53511,left,1,-22.55895,332.5901,36.99263,-2.323309,75.68355,11.78969,0.6965911,2.040845,1.132149,-77.25684,302.6226,62.04465,-250.5745,206.9722,195.3813,0.3269075,1.779507,0.7603984,17.02828,223.6316,21.37433,-22.21763,-67.30238,6.887174,0.2900203,-0.06348002,-0.297202,49.56595,203.5711,86.43681,209.6088,47.8447,236.7524,0,0.5427113,0
458.232,53513,left,1,-22.97731,333.312,37.48394,-24.72845,24.54118,31.46223,0.6961811,2.032553,1.14372,-78.24221,304.0184,62.02276,-254.6051,214.2733,195.4717,0.315385,1.775344,0.875608,16.72391,222.6357,21.64975,-16.90597,-64.78221,17.74783,0.2815869,-0.04695056,-0.2938008,49.11347,203.0354,86.85315,210.0295,44.83892,233.6154,0,0.4428835,0
458.2485,53515,left,1,-23.78654,335.0353,38.46535,-54.80677,122.2199,63.49417,0.5987466,2.138588,1.153944,-80.61056,309.1189,63.36308,-259.2595,222.4732,195.8159,0.3983347,1.815741,1,16.5189,221.5289,22.29115,-10.92616,-63.96432,43.05538,0.2686502,-0.03931387,-0.2981545,49.26231,202.6375,87.44856,210.9805,41.77467,230.3715,0,0.3261977,0
458.2651,53517,left,1,-23.86505,337.3849,39.54447,7.171518,140.0083,60.10582,0.3999226,2.249113,1.174201,-83.02135,317.3144,64.54916,-263.8996,233.2574,195.6376,0.4903873,1.893203,1,16.4801,220.2195,23.11387,0.03906436,-72.4455,45.66754,0.254956,-0.03690782,-0.3037824,49.64793,202.1472,88.24458,211.9196,40.52247,229.6733,0,0.2095537,0
458.2817,53519,left,1,-23.5975,339.0575,40.61878,2.846502,86.62469,65.76836,0.08823828,2.329685,1.197347,-84.8307,326.1527,65.40198,-266.8038,241.6829,194.6975,0.5671586,1.985864,1,16.55921,219.3736,23.80519,7.285506,-43.1188,40.06581,0.2434572,-0.03789132,-0.3057446,49.87231,201.9112,88.98869,211.1888,38.75233,229.7572,0,0.1349352,0
458.2982,53521,left,1,-22.88294,340.3534,41.7174,47.42508,109.7102,71.82062,-0.232473,2.331736,1.208712,-85.18385,334.0544,66.33495,-268.6299,249.371,193.3899,0.6825079,2.14756,0.9982241,16.59968,218.8535,23.96297,0.6884502,-27.2349,1.358285,0.2324579,-0.0390677,-0.3037451,49.78641,201.9403,89.31776,209.3153,37.08953,230.1673,0,0.1085884,0
458.3148,53523,left,1,-22.40743,341.2231,42.51026,43.37935,-6.349451,33.84308,-0.4306495,2.268682,1.205538,-84.98629,339.7683,67.14558,-272.7261,261.0146,191.7181,0.759068,2.34742,1,16.49667,218.1559,24.00882,-8.321677,-40.28358,2.989956,0.2087129,-0.04246857,-0.3055701,49.86697,202.5744,89.54305,208.0754,36.61687,230.5986,0,0.1082989,0
458.3314,53525,left,1,-20.93696,340.5364,42.88094,87.07354,-58.9917,17.58704,-0.5479909,2.216382,1.190957,-83.3158,342.9463,68.00345,-277.3936,273.3084,188.2159,0.855054,2.551582,1,16.35937,217.6196,24.00663,-9.509645,-25.60725,-3.323605,0.1861972,-0.03930179,-0.3069594,49.92872,203.4226,89.70747,208.7383,38.14925,230.9063,0,0.1251178,0
458.3483,53527,left,1,-20.32753,339.5135,43.36608,21.20291,-59.3619,28.88416,-0.6072318,2.160329,1.167557,-82.21317,345.0442,69.32784,-283.4888,289.477,184.944,0.8656478,2.704405,1,16.12596,217.454,23.81943,-15.47654,-4.38239,-14.19501,0.167321,-0.03395523,-0.3076878,49.85978,204.4646,89.64896,210.0779,40.42212,230.707,0,0.1274985,0
458.3649,53529,left,1,-19.74986,337.6054,43.83335,53.08834,-140.6491,20.03935,-0.6421167,2.116421,1.142845,-81.02934,345.6924,70.65934,-288.6509,303.5048,180.5692,0.8917112,2.794506,1,15.67951,217.9135,23.36337,-27.71205,37.60349,-29.32084,0.1552439,-0.02947049,-0.3070639,49.48076,205.7626,89.31075,211.507,43.85342,230.783,0,0.1347184,0
458.381,53530,left,1,-19.57769,336.5807,44.18583,19.81955,-117.9605,40.575,-0.6632679,2.115212,1.126122,-80.3402,346.1774,71.71874,-291.1674,308.9036,177.2138,0.9257982,2.832125,1,15.07188,218.9922,22.76227,-37.98591,74.9684,-37.93755,0.1509015,-0.02564284,-0.3079742,49.00757,207.2993,88.75866,213.2805,49.01101,231.7453,0,0.1534187,0
458.3982,53532,left,1,-18.95152,335.6664,45.23017,28.69447,-33.46468,68.09814,-0.6958629,2.156385,1.109304,-79.00759,347.1996,73.57277,-294.3652,314.6638,171.1903,1,2.904949,1,14.33364,220.8179,22.01551,-44.90008,118.2903,-45.17817,0.1421624,-0.02118798,-0.312487,48.60483,209.85,87.9873,214.5998,54.85774,232.6037,0,0.1251175,0
458.4144,53534,left,1,-20.13281,337.6126,47.30395,-102.1839,119.4219,123.0301,-0.7172497,2.175628,1.107045,-80.00243,350.1598,75.60374,-298.6336,320.9229,166.7756,1,2.947014,1,13.98245,222.1054,21.66382,-40.84995,149.7615,-40.9074,0.1377638,-0.01956216,-0.3143437,48.38802,211.4562,87.61926,214.8508,57.29598,232.5951,0,0.09804982,0
458.4308,53536,left,1,-22.77958,339.7706,49.72737,-105.7747,58.46511,134.4415,-0.8031771,2.225597,1.116495,-82.15051,354.849,77.61683,-301.1606,312.5138,162.5228,1,2.912631,1,13.29714,225.6379,20.95643,-38.00709,230.9486,-39.28357,0.1391251,-0.02114578,-0.3161407,47.84866,214.9914,86.868,215.4375,62.7283,232.5652,0,0.08723205,0
458.4474,53538,left,1,-24.77038,343.3116,53.44563,-112.3511,250.7389,237.7254,-0.8592693,2.269501,1.144275,-84.56921,358.6139,79.91005,-301.341,293.4548,155.6133,1,2.703077,1,12.67038,230.4648,20.22818,-33.78101,291.1067,-41.6801,0.1503938,-0.02895186,-0.3153067,47.1896,219.2856,86.15994,216.0508,71.15929,234.6415,0,0.1134779,0
458.4646,53540,left,1,-26.53373,348.9645,58.03644,-98.32389,497.3346,280.5495,-0.8521169,2.208083,1.157117,-87.29684,362.2818,82.9743,-297.934,271.8767,149.4995,1,2.744254,1,12.18849,236.1949,19.44998,-21.27205,346.1393,-42.70715,0.1762219,-0.03558461,-0.3106858,46.40139,223.5015,85.34898,216.3524,77.21188,234.4253,0,0.1035931,0
458.4804,53542,left,1,-23.57272,351.477,60.76706,198.9886,175.687,129.2019,-0.8911265,2.081401,1.164754,-84.5967,365.6814,84.10933,-290.9447,262.3555,145.0266,0,1.932367,0.418248,12.14258,242.3588,18.75521,0.1787994,349.9408,-59.47522,0.2086037,-0.04322496,-0.3034871,45.82905,227.5806,84.54154,215.6122,79.70672,232.2591,0,0.05690143,0
458.497,53544,left,1,-19.14355,347.6452,64.93953,274.7418,-304.862,310.4439,-1.015037,0.5651696,1.26215,-82.04203,364.336,79.35089,-289.3956,270.7247,151.518,0,1.477471,0.6760064,12.13567,248.1529,17.36901,4.028889,324.0084,-94.9907,0.23987,-0.05189667,-0.2963186,45.24863,231.3533,83.01633,213.9979,81.95808,230.4057,0,0.04551966,0
458.5138,53546,left,1,-15.65101,341.1461,63.73615,106.3553,-405.9635,-124.7394,-1.014165,-0.2973213,1.236245,-75.2571,364.0874,78.27492,-261.0407,261.6411,187.6179,0,1.222253,0.08753718,12.26863,253.158,15.45243,11.79533,266.9387,-114.1749,0.2662757,-0.05151591,-0.290184,44.81887,234.6618,80.95665,211.8374,82.93011,227.9499,0,0.02103193,0
458.5307,53548,left,1,-17.3231,337.3388,64.56678,-98.83341,-247.0064,90.50781,-0.9927785,-0.395064,1.234699,-76.06603,360.5597,79.46526,-250.7923,237.3814,185.5996,0,0.8442841,0,12.21313,256.8941,12.84168,-8.033607,186.337,-161.3728,0.2890959,-0.05315577,-0.2857407,44.28273,236.9511,78.20072,208.9582,83.64241,226.2175,0,0.03806916,0
458.5467,53550,left,1,-17.65037,334.1773,66.03725,2.984884,-214.368,88.03538,-0.975196,-0.405795,1.249945,-77.07761,356.1138,79.88782,-255.065,223.7973,168.0895,0,0.8925694,0,12.00015,259.1316,9.104301,-22.73159,90.15656,-235.1387,0.2984484,-0.04813673,-0.2830434,43.71107,238.6862,74.52112,205.7359,85.65707,225.7345,0,0.06056555,0
458.5638,53551,left,1,-17.65381,331.8386,66.63987,-0.3964465,-269.908,69.54587,-0.9803181,-0.4151872,1.260394,-77.26657,353.469,79.80157,-255.6189,216.268,159.3817,0,0.8800657,0,11.54926,259.5954,4.545382,-32.26306,-6.492695,-277.1418,0.2865669,-0.04358016,-0.2832973,43.19373,239.9888,70.2653,202.7578,88.83396,225.9206,0,0.04651137,0
458.5802,53553,left,1,-17.78812,328.4244,67.52374,-13.31249,-207.3899,44.9832,-1.007593,-0.4278834,1.273457,-77.43623,350.4129,79.64593,-257.761,211.1377,150.7238,0,0.7862566,0,11.08782,259.1501,-0.5018836,-21.1744,-39.29118,-294.8969,0.2689531,-0.03659767,-0.285642,42.78767,240.7447,65.53775,199.4641,91.24685,225.6653,0,0.05319695,0
458.5964,53555,left,1,-17.6402,324.3563,67.56445,9.15267,-256.0106,-5.273204,-1.032587,-0.4523515,1.274564,-76.82753,347.3268,79.34407,-256.5557,204.8447,145.3995,0,0.8681653,0,10.47435,256.6753,-5.929904,-38.08165,-182.7929,-321.1002,0.2475235,-0.02928579,-0.2873041,42.25002,239.7549,60.47007,197.168,93.34808,225.1027,0,0.03135938,0
458.6134,53557,left,1,-17.69237,319.3387,67.2979,-14.54512,-290.47,-16.95428,-1.066643,-0.4884453,1.273518,-76.02424,344.156,78.95737,-256.9301,203.4859,145.6784,0,0.8347097,0,9.696098,253.1186,-11.59833,-45.17703,-213.098,-329.4498,0.227429,-0.03020022,-0.2858812,41.4173,237.5423,55.16599,195.2288,94.68456,223.9138,0,0.04588808,0
458.6295,53559,left,1,-18.09584,313.5136,66.87965,-27.01925,-351.0168,-25.56152,-1.092423,-0.5156243,1.27069,-75.6988,339.9824,78.40226,-259.6973,203.5212,145.4066,0,0.7358966,0,9.321185,251.2927,-14.45418,-43.79315,-213.2792,-333.5883,0.2231598,-0.03203184,-0.2842771,40.93888,236.0081,52.43843,194.1033,94.42928,222.8541,0,0.04696618,0
458.6461,53561,left,1,-19.20882,307.3018,66.51588,-74.69729,-340.8643,-27.83525,-1.115121,-0.5414459,1.266879,-76.0695,335.319,77.86738,-262.7374,202.0536,143.9135,0,0.6155002,0,8.665503,247.3787,-20.02077,-38.85567,-218.8979,-324.4945,0.2148103,-0.03192077,-0.2775884,39.85662,232.6061,47.19037,191.5744,92.08669,219.7874,0,0.05650058,0
458.6629,53563,left,1,-20.84712,301.0474,65.83996,-98.50038,-373.0565,-46.57539,-1.141542,-0.5707251,1.263911,-76.82472,331.0189,76.88038,-269.0665,205.7102,142.5122,0,0.4995775,0,8.22245,243.7309,-25.39877,-18.3319,-201.0063,-304.516,0.2049535,-0.02541892,-0.274024,39.14612,229.5837,42.0567,189.261,89.12586,216.1238,0,0.02862816,0
458.6793,53565,left,1,-22.56134,296.3574,65.27003,-108.6394,-253.7761,-27.64892,-1.137494,-0.5944976,1.244667,-77.61171,328.1048,77.08643,-276.9933,216.7964,146.5422,0,0.5138568,0,7.932974,240.3065,-30.26462,-17.65045,-213.1217,-278.1337,0.1923831,-0.01366315,-0.2703551,38.60492,227.0797,37.48775,188.1204,88.76532,213.7926,0,0.03555631,0
458.6963,53567,left,1,-24.86624,292.8146,64.63922,-136.3532,-196.776,-49.77955,-1.106045,-0.6207187,1.202319,-78.7141,325.9586,78.36198,-281.3214,222.3061,150.2865,0,0.559598,0,7.869319,237.6196,-34.47969,1.967501,-147.9954,-229.6747,0.177919,0.001887203,-0.2647273,38.16507,225.4814,33.63972,187.2801,90.0468,212.5168,0,0.05798483,0
458.7128,53569,left,1,-26.73633,289.3481,63.45292,-90.64358,-209.1314,-89.4879,-1.076064,-0.6515447,1.153965,-79.20703,323.722,79.03768,-283.1913,220.9723,148.3171,0,0.6271426,0,8.029928,235.6357,-37.4882,7.844134,-120.7183,-160.0802,0.1713785,0.008861671,-0.2579333,37.8803,224.058,30.944,186.5524,91.82316,212.5779,0,0.08403986,0
458.7289,53571,left,1,-28.15349,286.8324,62.12328,-70.89623,-123.2112,-74.8866,-1.059667,-0.6799095,1.111431,-79.15501,322.424,79.28059,-282.4193,219.2224,149.9894,0,0.788529,0,8.233523,234.7108,-39.2777,11.35342,-52.49735,-94.1427,0.1728938,0.009337531,-0.2502285,37.55993,223.0199,29.36913,184.9699,90.91855,212.137,0,0.1115718,0
458.7458,53573,left,1,-28.75981,285.4455,61.00839,-20.02925,-73.87518,-58.02505,-1.083607,-0.7119719,1.098451,-78.30649,322.7315,78.19343,-280.0865,219.488,152.975,0,0.8546587,0,8.326113,233.9726,-39.89548,3.275192,-50.41382,-15.9318,0.1744887,0.006500233,-0.2450259,37.31096,222.1631,28.88857,183.9253,90.50818,212.6261,0,0.131296,0
