Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
387.3218,45176,left,1,-157.6009,357.8461,-5.387933,-0.8129695,0.08331878,16.90932,1.481888,1.047191,1.40238,-195.5675,298.8605,-3.047263,-296.7271,76.39413,47.65038,0.105745,1.987586,0.7406519,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0
387.3385,45178,left,1,-157.8579,357.3244,-5.038866,3.906182,-58.78376,12.80259,1.470658,1.05303,1.376786,-195.2881,297.9832,-2.199309,-296.8835,75.35313,46.88256,0.06743386,1.829726,0.7252412,17.57927,225.8769,20.97893,-1.554018,-49.27261,14.10453,0.3095724,-0.0696516,-0.3045345,50.35363,204.6443,85.59027,208.4467,47.60641,236.6033,0,0.5424234,0
387.3549,45180,left,1,-157.8394,355.01,-4.780155,-11.48094,-162.9577,13.58926,1.45274,1.049894,1.341921,-195.0647,295.5445,-1.267331,-296.4532,72.13747,44.60732,0,2.005885,0.6286759,17.47668,224.9987,21.14577,-9.194762,-51.0369,7.447628,0.3017198,-0.07100394,-0.3022352,50.21103,204.2219,85.91442,209.1774,47.90908,236.7628,0,0.5407819,0
387.3718,45182,left,1,-157.3419,351.0263,-4.619166,37.72934,-253.2647,4.68005,1.427061,1.026263,1.304643,-195.2922,292.0877,-0.04414244,-296.2857,68.06541,43.64973,0,2.063869,0.6117958,17.22053,224.214,21.31473,-16.67351,-44.69855,10.93702,0.2931697,-0.06764507,-0.2998965,49.88375,203.954,86.26379,209.3764,48.0055,236.9336,0,0.5684602,0
387.3881,45184,left,1,-156.9935,345.4343,-4.590307,12.81839,-328.1882,-0.9893742,1.405231,0.9995178,1.28117,-195.9614,287.2634,0.9261003,-296.7944,63.33603,45.46872,0,1.993226,0.6413358,17.02828,223.6316,21.37433,-22.21763,-67.30238,6.887174,0.2900203,-0.06348002,-0.297202,49.56595,203.5711,86.43681,209.6088,47.8447,236.7524,0,0.5427113,0
387.4052,45186,left,1,-156.3685,338.1738,-4.710142,48.27057,-455.3861,3.448196,1.381365,0.975938,1.255387,-196.3208,280.7832,1.882575,-300.3808,58.74625,48.42205,0.9112033,1.82301,0.5748889,16.72391,222.6357,21.64975,-16.90597,-64.78221,17.74783,0.2815869,-0.04695056,-0.2938008,49.11347,203.0354,86.85315,210.0295,44.83892,233.6154,0,0.4428835,0
387.4213,45188,left,1,-155.6081,328.6977,-4.738241,37.18661,-545.0774,-5.722913,1.352418,0.9492596,1.225186,-196.4859,272.1502,3.226351,-301.2665,50.9469,52.06219,0.4965875,1.632186,0.4767882,16.5189,221.5289,22.29115,-10.92616,-63.96432,43.05538,0.2686502,-0.03931387,-0.2981545,49.26231,202.6375,87.44856,210.9805,41.77467,230.3715,0,0.3261977,0
387.4379,45190,left,1,-155.9447,322.614,-4.853141,-34.9172,-331.147,-9.966821,1.339957,0.9361119,1.210394,-197.0168,266.3386,3.859936,-299.3767,44.15125,53.35796,0.5975174,1.649335,0.4849527,16.4801,220.2195,23.11387,0.03906436,-72.4455,45.66754,0.254956,-0.03690782,-0.3037824,49.64793,202.1472,88.24458,211.9196,40.52247,229.6733,0,0.2095537,0
387.4543,45192,left,1,-154.8246,315.1223,-5.037807,89.75185,-474.6223,-16.75134,1.340225,0.9410365,1.205037,-195.5263,258.6036,3.841835,-296.889,36.27177,54.72379,0.6298146,1.748521,0.5389866,16.55921,219.3736,23.80519,7.285506,-43.1188,40.06581,0.2434572,-0.03789132,-0.3057446,49.87231,201.9112,88.98869,211.1888,38.75233,229.7572,0,0.1349352,0
387.4709,45194,left,1,-152.074,304.3764,-5.20371,126.2135,-611.6616,-4.258957,1.339716,0.9554191,1.195503,-192.1677,247.4346,3.818079,-293.7773,26.0106,58.05582,0.6700572,1.790966,0.525232,16.59968,218.8535,23.96297,0.6884502,-27.2349,1.358285,0.2324579,-0.0390677,-0.3037451,49.78641,201.9403,89.31776,209.3153,37.08953,230.1673,0,0.1085884,0
